❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 32)
W2 형태: (32, 10)
[170/300] loss=1.6804 | train=71.61% | test=72.22%
[171/300] loss=1.6740 | train=71.75% | test=72.22%
[172/300] loss=1.6676 | train=71.89% | test=72.22%
[173/300] loss=1.6611 | train=71.89% | test=72.50%
[174/300] loss=1.6547 | train=72.03% | test=72.22%
[175/300] loss=1.6482 | train=72.16% | test=72.22%
[176/300] loss=1.6418 | train=72.37% | test=72.22%
[177/300] loss=1.6353 | train=72.58% | test=72.22%
[178/300] loss=1.6289 | train=72.65% | test=72.50%
[179/300] loss=1.6224 | train=72.79% | test=72.78%
[180/300] loss=1.6160 | train=73.00% | test=73.06%
[181/300] loss=1.6095 | train=73.14% | test=73.33%
[182/300] loss=1.6031 | train=73.21% | test=73.33%
[183/300] loss=1.5966 | train=73.35% | test=73.33%
[184/300] loss=1.5901 | train=73.35% | test=73.33%
[185/300] loss=1.5837 | train=73.42% | test=73.33%
[186/300] loss=1.5773 | train=73.56% | test=73.33%
[187/300] loss=1.5708 | train=73.63% | test=73.61%
[188/300] loss=1.5644 | train=73.83% | test=73.89%
[189/300] loss=1.5580 | train=73.97% | test=74.44%
[190/300] loss=1.5515 | train=73.97% | test=74.44%
[191/300] loss=1.5451 | train=74.25% | test=74.44%
[192/300] loss=1.5387 | train=74.32% | test=74.72%
[193/300] loss=1.5323 | train=74.46% | test=75.00%
[194/300] loss=1.5260 | train=74.53% | test=75.28%
[195/300] loss=1.5196 | train=74.53% | test=75.28%
[196/300] loss=1.5132 | train=74.67% | test=75.28%
[197/300] loss=1.5069 | train=74.81% | test=75.28%
[198/300] loss=1.5006 | train=74.95% | test=75.56%
[199/300] loss=1.4942 | train=75.09% | test=75.56%
[200/300] loss=1.4879 | train=75.09% | test=75.56%
[201/300] loss=1.4817 | train=75.16% | test=75.56%
[202/300] loss=1.4754 | train=75.30% | test=75.56%
[203/300] loss=1.4691 | train=75.43% | test=75.56%
[204/300] loss=1.4629 | train=75.43% | test=75.56%
[205/300] loss=1.4567 | train=75.50% | test=76.11%
[206/300] loss=1.4505 | train=75.64% | test=77.22%
[207/300] loss=1.4443 | train=75.64% | test=77.50%
[208/300] loss=1.4382 | train=75.64% | test=78.06%
[209/300] loss=1.4320 | train=75.92% | test=78.33%
[210/300] loss=1.4259 | train=75.92% | test=78.61%
[211/300] loss=1.4198 | train=75.99% | test=78.61%
[212/300] loss=1.4137 | train=76.20% | test=78.61%
[213/300] loss=1.4077 | train=76.62% | test=78.61%
[214/300] loss=1.4016 | train=76.90% | test=78.61%
[215/300] loss=1.3956 | train=77.11% | test=78.61%
[216/300] loss=1.3896 | train=77.38% | test=78.61%
[217/300] loss=1.3837 | train=77.80% | test=78.89%
[218/300] loss=1.3777 | train=77.94% | test=78.89%
[219/300] loss=1.3718 | train=78.01% | test=78.89%
[220/300] loss=1.3659 | train=78.15% | test=78.89%
[221/300] loss=1.3601 | train=78.29% | test=78.89%
[222/300] loss=1.3542 | train=78.22% | test=78.89%
[223/300] loss=1.3484 | train=78.29% | test=78.89%
[224/300] loss=1.3426 | train=78.57% | test=79.17%
[225/300] loss=1.3368 | train=78.64% | test=79.17%
[226/300] loss=1.3311 | train=78.64% | test=79.17%
[227/300] loss=1.3254 | train=78.78% | test=79.17%
[228/300] loss=1.3197 | train=78.91% | test=79.44%
[229/300] loss=1.3140 | train=78.98% | test=79.44%
[230/300] loss=1.3084 | train=79.26% | test=79.72%
[231/300] loss=1.3028 | train=79.33% | test=80.00%
[232/300] loss=1.2972 | train=79.40% | test=80.00%
[233/300] loss=1.2916 | train=79.47% | test=80.00%
[234/300] loss=1.2861 | train=79.54% | test=80.00%
[235/300] loss=1.2806 | train=79.61% | test=80.00%
[236/300] loss=1.2751 | train=79.54% | test=80.28%
[237/300] loss=1.2697 | train=79.61% | test=80.28%
[238/300] loss=1.2643 | train=79.82% | test=80.28%
[239/300] loss=1.2589 | train=79.96% | test=80.56%
[240/300] loss=1.2535 | train=79.89% | test=80.56%
[241/300] loss=1.2482 | train=80.03% | test=80.83%
[242/300] loss=1.2429 | train=80.17% | test=80.83%
[243/300] loss=1.2376 | train=80.24% | test=81.11%
[244/300] loss=1.2324 | train=80.31% | test=81.39%
[245/300] loss=1.2272 | train=80.45% | test=81.39%
[246/300] loss=1.2220 | train=80.58% | test=81.67%
[247/300] loss=1.2168 | train=80.65% | test=81.94%
[248/300] loss=1.2117 | train=80.72% | test=81.94%
[249/300] loss=1.2066 | train=80.72% | test=82.22%
[250/300] loss=1.2015 | train=80.86% | test=82.22%
[251/300] loss=1.1964 | train=81.00% | test=82.50%
[252/300] loss=1.1914 | train=81.28% | test=82.78%
[253/300] loss=1.1864 | train=81.35% | test=82.78%
[254/300] loss=1.1814 | train=81.56% | test=82.78%
[255/300] loss=1.1765 | train=81.84% | test=82.78%
[256/300] loss=1.1716 | train=81.84% | test=82.78%
[257/300] loss=1.1667 | train=81.91% | test=82.78%
[258/300] loss=1.1619 | train=81.91% | test=83.06%
[259/300] loss=1.1570 | train=81.91% | test=83.33%
[260/300] loss=1.1522 | train=81.91% | test=83.89%
[261/300] loss=1.1475 | train=81.91% | test=84.17%
[262/300] loss=1.1427 | train=82.12% | test=84.17%
[263/300] loss=1.1380 | train=82.46% | test=84.17%
[264/300] loss=1.1333 | train=82.60% | test=84.17%
[265/300] loss=1.1287 | train=82.60% | test=84.17%
[266/300] loss=1.1240 | train=82.81% | test=84.17%
[267/300] loss=1.1194 | train=83.02% | test=84.17%
[268/300] loss=1.1148 | train=83.09% | test=84.44%
[269/300] loss=1.1103 | train=83.09% | test=84.44%
[270/300] loss=1.1058 | train=83.37% | test=84.44%
[271/300] loss=1.1013 | train=83.30% | test=84.44%
[272/300] loss=1.0968 | train=83.37% | test=84.44%
[273/300] loss=1.0923 | train=83.37% | test=84.44%
[274/300] loss=1.0879 | train=83.44% | test=84.44%
[275/300] loss=1.0835 | train=83.44% | test=84.44%
[276/300] loss=1.0792 | train=83.51% | test=84.44%
[277/300] loss=1.0748 | train=83.65% | test=84.44%
[278/300] loss=1.0705 | train=83.86% | test=84.72%
[279/300] loss=1.0662 | train=83.86% | test=84.72%
[280/300] loss=1.0620 | train=84.06% | test=84.72%
[281/300] loss=1.0577 | train=84.27% | test=84.72%
[282/300] loss=1.0535 | train=84.27% | test=84.72%
[283/300] loss=1.0493 | train=84.48% | test=84.72%
[284/300] loss=1.0452 | train=84.55% | test=84.72%
[285/300] loss=1.0410 | train=84.69% | test=84.72%
[286/300] loss=1.0369 | train=84.76% | test=84.72%
[287/300] loss=1.0328 | train=84.83% | test=84.72%
[288/300] loss=1.0288 | train=84.83% | test=84.72%
[289/300] loss=1.0247 | train=84.90% | test=84.72%
[290/300] loss=1.0207 | train=84.90% | test=84.72%
[291/300] loss=1.0167 | train=85.04% | test=85.00%
[292/300] loss=1.0128 | train=85.11% | test=85.00%
[293/300] loss=1.0088 | train=85.25% | test=85.00%
[294/300] loss=1.0049 | train=85.46% | test=85.28%
[295/300] loss=1.0010 | train=85.59% | test=85.28%
[296/300] loss=0.9972 | train=85.59% | test=85.28%
[297/300] loss=0.9933 | train=85.59% | test=85.56%
[298/300] loss=0.9895 | train=85.73% | test=85.56%
[299/300] loss=0.9857 | train=85.73% | test=85.56%
[300/300] loss=0.9819 | train=85.73% | test=85.56%

 🌟 구현 후 다음을 확인하세요:
- 훈련 정확도: 90% 이상
- 테스트 정확도: 85% 이상
- 각 숫자별 예측 성능

최종 결과: train=85.73% | test=85.56%
클래스 0 정확도: 96.97%
클래스 1 정확도: 75.00%
클래스 2 정확도: 93.94%
클래스 3 정확도: 97.06%
클래스 4 정확도: 95.65%
클래스 5 정확도: 80.85%
클래스 6 정확도: 97.14%
클래스 7 정확도: 100.00%
클래스 8 정확도: 46.67%
클래스 9 정확도: 67.50%

다시 해보자ㅜㅜ~~~~
