❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 16)
W2 형태: (16, 10)
[172/300] loss=1.9625 | train=64.72% | test=60.83%
[173/300] loss=1.9582 | train=65.00% | test=61.39%
[174/300] loss=1.9538 | train=65.00% | test=61.39%
[175/300] loss=1.9495 | train=65.14% | test=61.67%
[176/300] loss=1.9451 | train=65.21% | test=61.67%
[177/300] loss=1.9406 | train=65.55% | test=61.67%
[178/300] loss=1.9362 | train=65.69% | test=62.50%
[179/300] loss=1.9317 | train=65.83% | test=62.50%
[180/300] loss=1.9272 | train=66.11% | test=62.50%
[181/300] loss=1.9227 | train=66.25% | test=63.06%
[182/300] loss=1.9181 | train=66.32% | test=63.61%
[183/300] loss=1.9136 | train=66.39% | test=64.44%
[184/300] loss=1.9090 | train=66.74% | test=64.44%
[185/300] loss=1.9044 | train=66.81% | test=65.00%
[186/300] loss=1.8998 | train=67.01% | test=65.28%
[187/300] loss=1.8951 | train=66.95% | test=65.28%
[188/300] loss=1.8905 | train=67.29% | test=65.83%
[189/300] loss=1.8858 | train=67.43% | test=65.56%
[190/300] loss=1.8811 | train=67.43% | test=65.56%
[191/300] loss=1.8764 | train=67.64% | test=65.56%
[192/300] loss=1.8717 | train=67.71% | test=65.56%
[193/300] loss=1.8669 | train=67.71% | test=65.83%
[194/300] loss=1.8622 | train=67.92% | test=66.11%
[195/300] loss=1.8574 | train=68.20% | test=66.39%
[196/300] loss=1.8526 | train=68.48% | test=66.39%
[197/300] loss=1.8478 | train=68.55% | test=66.67%
[198/300] loss=1.8430 | train=68.89% | test=66.67%
[199/300] loss=1.8382 | train=68.96% | test=66.67%
[200/300] loss=1.8333 | train=69.24% | test=66.94%
[201/300] loss=1.8285 | train=69.31% | test=67.22%
[202/300] loss=1.8236 | train=69.45% | test=67.22%
[203/300] loss=1.8188 | train=69.73% | test=67.22%
[204/300] loss=1.8139 | train=69.80% | test=67.50%
[205/300] loss=1.8090 | train=69.80% | test=68.06%
[206/300] loss=1.8041 | train=69.94% | test=68.06%
[207/300] loss=1.7992 | train=70.08% | test=68.06%
[208/300] loss=1.7943 | train=70.15% | test=68.33%
[209/300] loss=1.7894 | train=70.22% | test=68.61%
[210/300] loss=1.7844 | train=70.29% | test=68.89%
[211/300] loss=1.7795 | train=70.35% | test=68.89%
[212/300] loss=1.7746 | train=70.49% | test=68.89%
[213/300] loss=1.7696 | train=70.63% | test=69.17%
[214/300] loss=1.7647 | train=70.77% | test=69.17%
[215/300] loss=1.7597 | train=70.84% | test=69.44%
[216/300] loss=1.7548 | train=70.84% | test=69.44%
[217/300] loss=1.7498 | train=70.84% | test=69.44%
[218/300] loss=1.7449 | train=70.91% | test=69.72%
[219/300] loss=1.7399 | train=71.12% | test=69.72%
[220/300] loss=1.7350 | train=71.19% | test=69.72%
[221/300] loss=1.7300 | train=71.19% | test=70.00%
[222/300] loss=1.7250 | train=71.26% | test=70.00%
